"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",3.6823304287345,0.096316048967648,38.2317429774489,8.89741691902142e-272
"racehisp1",-0.123416318277452,0.0378175159826066,-3.26346971953987,0.00111008876679944
"racehisp2",-0.00447433753436575,0.0889396308262446,-0.0503075793411709,0.959879868150706
"racehisp4",-0.220065613456931,0.0600286110650861,-3.6660120824439,0.000249654123146106
"racehisp97",-0.228182370675445,0.120122372911529,-1.89958261017291,0.0575618485946986
"educa_hh2",-0.0521958191695398,0.078526215101622,-0.664692919453616,0.506286344286751
"educa_hh3",0.0747990289583661,0.0711473936663876,1.05132493410934,0.29317471669636
"educa_hh4",0.212843184982167,0.0728866197532866,2.9201955818862,0.00351822954554083
"educa_hh5",0.306506528696869,0.0734895850161262,4.17074784991112,3.10226840877369e-05
"hhsize",-0.0240961734472519,0.0128276937777871,-1.87844938183493,0.0603944841193853
"disabled1",0.00945602411561354,0.153047372895347,0.0617849489130372,0.9507372653784
"disabled2",0.599851283170871,0.225735256558922,2.6573220874529,0.00790862862465289
"walk_index",-0.0111224599316068,0.00436786053171082,-2.54643202338017,0.0109212780874864
"regional_access",0.0143072811148734,0.00922299810337439,1.55126141787222,0.120920438949467
"school_distance",0.00757190490568731,0.00713633452069697,1.06103558959114,0.288739631706933
