"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",3.57336335152287,0.386004462382694,9.25731098927077,1.72518032096953e-19
"age",-0.0084010404020723,0.00518107031773698,-1.62148743152781,0.105290656790694
"own2",0.113711818472664,0.0853495484128677,1.3323072070938,0.183122746117889
"hhsize",0.142475246930485,0.0286093213811428,4.98002888752177,7.72628020015636e-07
"hhveh",-0.164140780782504,0.0396176190891282,-4.14312582523536,3.77502091179789e-05
"walk_index_chts_senior_walk_min",0.0487003151563945,0.0180623878304954,2.69622796351278,0.00715415198558047
"park_access",0.0351030625708226,0.0205339950194214,1.70950964669182,0.0877281294502536
