"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",3.85731617907783,0.245532185543449,15.7100225802994,1.35049342412292e-42
"gender2",-0.125232381971808,0.0866108346562581,-1.44592050716093,0.149081744795318
"age",0.00465104643066711,0.00359992626496063,1.2919838042066,0.19720318732673
"emply2",-0.245873003932573,0.11498522674692,-2.1383008138405,0.0331745596270745
"hhsize",-0.0939726947725125,0.0332712204080397,-2.82444387732182,0.00500373943347211
"rail_any",-0.169354270530878,0.0969044043118077,-1.74764265601334,0.0813905217777392
"regional_access",0.0582744655260914,0.0261663924513046,2.22707297670245,0.0265690252546912
"school_distance",0.0372203702798886,0.0163241709258541,2.28007722100846,0.0231955804537572
"park_access",-0.0348811858198994,0.0297693741595732,-1.17171377647798,0.242097771966149
