"","Estimate","Std..Error","t.value","Pr...t.."
"(Intercept)",4.88664172395427,0.0533151580980558,91.6557672954263,0
"walk_tr_any",0.0496024162720258,0.0260938495513246,1.90092367070875,0.0573554452667507
"gender2",-0.124498745221994,0.0258040789059462,-4.8247699782574,1.43306604383816e-06
"racehisp1",0.102151998512901,0.0496997662204204,2.05538187161389,0.0398813190086854
"racehisp2",-0.138841083366533,0.0804816840216163,-1.72512646889002,0.084551404323399
"racehisp4",0.0639042221438993,0.0656561561002567,0.973316531755496,0.330431608488053
"racehisp97",0.129126543801673,0.105549277236869,1.22337686417211,0.22123097776319
"own2",-0.108332995248355,0.0366120155518837,-2.958946499267,0.00309786795866998
"disabled1",0.0106619029532633,0.0348389722465551,0.306033796801154,0.759588546896882
"disabled2",-0.123870638433104,0.0301238366944114,-4.11204720333928,3.96917004545998e-05
"walk_index",-0.0096170828951986,0.0034332614903287,-2.80115071988818,0.00510686598974138
"regional_access",-0.00873738696486817,0.00720230663253787,-1.21313731984074,0.225120654158314
"park_access",-0.0137568666730116,0.00705237923505664,-1.95067029359789,0.0511384609223667
